//Flight 0
//Date 2008/04/28
Random  Base1
  3.048472           51491.70 
  3.048611           51490.60 
  3.048750           51491.20 
  3.048889           51491.20 
  3.049028           51490.60 
  3.049167           51489.90 
  3.049306           51490.40 
  3.049444           51491.40 
  3.049583           51491.40 
  3.049722           51490.10 
  3.049861           51491.10 
  3.050000           51491.40 
  3.050139           51491.10 
  3.050278           51490.70 
  3.050417           51456.90 
  3.050556           51490.50 
  3.050694           51491.70 
  3.050833           51492.30 
  3.050972           51491.90 
  3.051111           51491.30 
  3.051250           51491.40 
  3.051389           51490.60 
  3.051528           51490.90 
  3.051667           51489.80 
  3.051806           51490.20 
  3.051944           51491.10 
  3.052083           51491.60 
  3.052222           51491.40 
  3.052361           51490.40 
  3.052500           51491.10 
  3.052639           51491.20 
  3.052778           51492.10 
  3.052917           51491.00 
  3.053056           51492.00 
  3.053194           51490.20 
  3.053333           51490.50 
  3.053472           51491.00 
  3.053611           51490.80 
  3.053750           51491.00 
  3.053889           51491.00 
  3.054028           51490.80 
  3.054167           51491.80 
  3.054306           51492.20 
  3.054444           51492.30 
  3.054583           51491.40 
  3.054722           51485.80 
  3.054861           51488.50 
  3.055000           51491.40 
  3.055139           51490.50 
  3.055278           51490.80 
  3.055417           51490.00 
  3.055556           51491.10 
  3.055694           51492.30 
  3.055833           51492.20 
  3.055972           51491.30 
  3.056111           51491.50 
  3.056250           51490.70 
  3.056389           51490.40 
  3.056528           51490.70 
  3.056667           51500.40 
  3.056806           51451.70 
  3.056944           51492.50 
  3.057083           51490.50 
  3.057222           51490.70 
  3.057361           51490.00 
  3.057500           51489.90 
  3.057639           51492.00 
  3.057778           51492.00 
  3.057917           51491.10 
  3.058056           51491.80 
  3.058194           51490.60 
  3.058333           51490.70 
  3.058472           51490.80 
  3.058611           51490.20 
  3.058750           51490.20 
  3.058889           51490.00 
  3.059028           51491.90 
  3.059167           51491.50 
  3.059306           51489.20 
  3.059444           51490.30 
  3.059583           51491.50 
  3.059722           51490.60 
  3.059861           51491.00 
  3.060000           51491.30 
  3.060139           51491.40 
  3.060278           51490.50 
  3.060417           51490.90 
  3.060556           51489.40 
  3.060694           51491.60 
  3.060833           51491.40 
  3.060972           51490.10 
  3.061111           51491.70 
  3.061250           51491.70 
  3.061389           51491.70 
  3.061528           51490.00 
  3.061667           51491.30 
  3.061806           51491.70 
  3.061944           51491.40 
  3.062083           51491.20 
  3.062222           51490.30 
  3.062361           51491.70 
  3.062500           51490.60 
  3.062639           51492.00 
  3.062778           51491.30 
  3.062917           51491.00 
  3.063056           51491.70 
  3.063194           51491.50 
  3.063333           51491.30 
  3.063472           51491.50 
  3.063611           51491.60 
  3.063750           51490.90 
  3.063889           51490.60 
