/--------------------------    S C I N T R E X    -----------------------------
/!  Revision:	4.3F
/!  Line____:	0.00000 +
/!  Date____:	08/04/28
/!  Job_____:	0      
/!  Operator:	
/!  Serial__:	0      
/!  Basefld_:	51500
/!  Duration:	0.5
/!  Cyc_Time:	0.5
/!  Station_:	0.00000 +
/!  Mag_Data:	Hours/TotFld/Time
/------------------------------------------------------------------------------
 3.018333  51483.8  03:01:06
 3.018472  51483.5  03:01:06
 3.018611  51486.4  03:01:07
 3.018750  51482.7  03:01:07
 3.018889  51443.3  03:01:08
 3.019028  51015.6  03:01:08
 3.019167  50417.5  03:01:09
 3.019306  51231.8  03:01:09
 3.019444  51485.5  03:01:10
 3.019583  50738.9  03:01:10
 3.019722  51482.2  03:01:11
 3.019861  51240.7  03:01:11
 3.020000  51456.9  03:01:12
 3.020139  51489.8  03:01:12
 3.020278  51483.8  03:01:13
 3.020417  51484.3  03:01:13
 3.020556  51482.9  03:01:14
 3.020694  51483.1  03:01:14
 3.020833  51481.1  03:01:15
 3.020972  51483.3  03:01:15
 3.021111  51482.9  03:01:16
 3.021250  51482.1  03:01:16
 3.021389  51482.6  03:01:17
 3.021528  51482.9  03:01:17
 3.021667  51482.7  03:01:18
 3.021806  51483.6  03:01:18
 3.021944  51483.3  03:01:19
 3.022083  51483.2  03:01:19
 3.022222  51483.1  03:01:20
 3.022361  51482.4  03:01:20
 3.022500  51483.4  03:01:21
 3.022639  51483.4  03:01:21
 3.022778  51484.4  03:01:22
 3.022917  51484.1  03:01:22
 3.023056  51482.3  03:01:23
 3.023194  51482.4  03:01:23
 3.023333  51483.0  03:01:24
 3.023472  51483.2  03:01:24
 3.023611  51482.3  03:01:25
 3.023750  51482.6  03:01:25
 3.023889  51482.2  03:01:26
 3.024028  51483.0  03:01:26
 3.024167  51483.6  03:01:27
 3.024306  51482.6  03:01:27
 3.024444  51482.5  03:01:28
 3.024583  51259.0  03:01:28
 3.024722  51469.8  03:01:29
 3.024861  50558.5  03:01:29
 3.025000  50378.5  03:01:30
 3.025139  51481.7  03:01:30
 3.025278  51486.6  03:01:31
 3.025417  51480.2  03:01:31
 3.025556  51488.9  03:01:32
 3.025694  51476.7  03:01:32
 3.025833  51248.2  03:01:33
 3.025972  51481.5  03:01:33
 3.026111  51482.1  03:01:34
 3.026250  51483.1  03:01:34
 3.026389  51482.4  03:01:35
 3.026528  51481.7  03:01:35
 3.026667  51483.0  03:01:36
 3.026806  51482.5  03:01:36
 3.026944  51484.6  03:01:37
 3.027083  51481.7  03:01:37
 3.027222  51482.8  03:01:38
 3.027361  51482.3  03:01:38
 3.027500  51482.1  03:01:39
 3.027639  51482.2  03:01:39
 3.027778  51483.1  03:01:40
 3.027917  51481.5  03:01:40
 3.028056  51481.6  03:01:41
 3.028194  51480.8  03:01:41
 3.028333  51481.9  03:01:42
 3.028472  51483.3  03:01:42
 3.028611  51483.3  03:01:43
 3.028750  51484.5  03:01:43
 3.028889  51484.7  03:01:44
 3.029028  51485.7  03:01:44
 3.029167  51246.4  03:01:45
 3.029306  51456.2  03:01:45
 3.029444  51484.4  03:01:46
 3.029583  51486.3  03:01:46
 3.029722  51479.4  03:01:47
 3.029861  51486.2  03:01:47
 3.030000  51486.2  03:01:48
 3.030139  51486.0  03:01:48
 3.030278  51485.5  03:01:49
 3.030417  51483.8  03:01:49
 3.030556  51482.8  03:01:50
 3.030694  51482.3  03:01:50
 3.030833  51481.9  03:01:51
 3.030972  51478.7  03:01:51
 3.031111  51480.0  03:01:52
 3.031250  51482.0  03:01:52
 3.031389  51484.1  03:01:53
 3.031528  51469.6  03:01:53
 3.031667  51466.0  03:01:54
 3.031806  51478.0  03:01:54
 3.031944  51491.0  03:01:55
 3.032083  51260.5  03:01:55
 3.032222  51477.8  03:01:56
 3.032361  51470.9  03:01:56
 3.032500  51491.4  03:01:57
 3.032639  51485.1  03:01:57
 3.032778  51501.6  03:01:58
 3.032917  51497.9  03:01:58
 3.033056  51192.4  03:01:59
 3.033194  50776.0  03:01:59
 3.033333  51517.7  03:02:00
 3.033472  51487.1  03:02:00
 3.033611  51493.2  03:02:01
 3.033750  51486.8  03:02:01
 3.033889  51495.1  03:02:02
 3.034028  51480.6  03:02:02
 3.034167  51491.1  03:02:03
 3.034306  51491.2  03:02:03
 3.034444  51491.9  03:02:04
 3.034583  51491.7  03:02:04
 3.034722  51491.6  03:02:05
 3.034861  51491.3  03:02:05
 3.035000  51491.4  03:02:06
 3.035139  51491.3  03:02:06
 3.035278  51491.2  03:02:07
 3.035417  51491.2  03:02:07
 3.035556  51490.7  03:02:08
 3.035694  51491.9  03:02:08
